学号,姓名,班级,考试编号,考试名称,日期,总分,班级排名,题1,题2,题3,题4,题5,题6,题7,题8,题9,题10,题11,题12,题13,题14,题15,题16,题17,题18,题19,题20,题21,题22,题23,题24,题25,题26,题27,题28,题29,题30
S20240020,吴婷,机器学习(1)班,E2026061601,机器学习数学基础测验,2026-06-16,78,6,0/3,0/3,3/3,0/3,3/3,0/3,3/3,0/3,3/3,0/3,3/3,3/3,0/3,3/3,0/3,1/4,4/4,4/4,0/4,0/4,0/4,4/4,1/4,4/4,4/4,4/10,10/10,10/10,1/10,10/10
S20240021,郑伟,机器学习(2)班,E2026061601,机器学习数学基础测验,2026-06-16,96,2,0/3,3/3,3/3,3/3,3/3,3/3,0/3,3/3,3/3,0/3,3/3,3/3,3/3,3/3,3/3,3/4,0/4,4/4,0/4,0/4,4/4,4/4,4/4,4/4,3/4,2/10,2/10,10/10,10/10,10/10
S20240022,孙悦,机器学习(2)班,E2026061601,机器学习数学基础测验,2026-06-16,91,3,3/3,0/3,3/3,3/3,3/3,3/3,3/3,0/3,3/3,0/3,0/3,3/3,3/3,3/3,3/3,1/4,0/4,1/4,4/4,4/4,4/4,4/4,0/4,1/4,0/4,10/10,10/10,8/10,1/10,10/10
S20240023,马超,机器学习(2)班,E2026061601,机器学习数学基础测验,2026-06-16,97,1,3/3,3/3,0/3,3/3,0/3,3/3,3/3,0/3,3/3,3/3,3/3,3/3,3/3,0/3,3/3,2/4,0/4,2/4,4/4,4/4,4/4,4/4,4/4,2/4,1/4,4/10,10/10,10/10,10/10,3/10
S20240024,朱敏,机器学习(2)班,E2026061601,机器学习数学基础测验,2026-06-16,48,9,0/3,0/3,3/3,0/3,0/3,0/3,0/3,3/3,0/3,3/3,0/3,0/3,3/3,0/3,0/3,0/4,0/4,0/4,4/4,4/4,0/4,4/4,2/4,4/4,4/4,0/10,2/10,2/10,0/10,10/10
S20240025,胡浩,机器学习(2)班,E2026061601,机器学习数学基础测验,2026-06-16,86,4,3/3,0/3,3/3,0/3,3/3,0/3,3/3,3/3,3/3,3/3,3/3,0/3,0/3,0/3,3/3,4/4,4/4,0/4,4/4,4/4,0/4,4/4,3/4,4/4,4/4,2/10,2/10,4/10,10/10,10/10
S20240026,林燕,机器学习(2)班,E2026061601,机器学习数学基础测验,2026-06-16,64,7,0/3,0/3,0/3,0/3,0/3,3/3,3/3,0/3,3/3,0/3,0/3,3/3,3/3,0/3,0/3,1/4,4/4,0/4,4/4,0/4,3/4,0/4,1/4,4/4,4/4,10/10,2/10,3/10,10/10,3/10
S20240027,何飞,机器学习(2)班,E2026061601,机器学习数学基础测验,2026-06-16,72,6,3/3,3/3,0/3,3/3,3/3,0/3,3/3,3/3,3/3,3/3,3/3,0/3,3/3,0/3,0/3,4/4,3/4,0/4,4/4,4/4,4/4,4/4,4/4,0/4,0/4,3/10,10/10,1/10,1/10,0/10
S20240028,郭雪,机器学习(2)班,E2026061601,机器学习数学基础测验,2026-06-16,45,10,3/3,0/3,0/3,3/3,0/3,0/3,3/3,0/3,0/3,3/3,0/3,0/3,0/3,0/3,3/3,1/4,1/4,0/4,4/4,2/4,0/4,4/4,0/4,0/4,1/4,3/10,10/10,2/10,2/10,0/10
S20240029,徐刚,机器学习(2)班,E2026061601,机器学习数学基础测验,2026-06-16,83,5,3/3,3/3,0/3,3/3,3/3,3/3,3/3,0/3,3/3,0/3,0/3,0/3,3/3,3/3,0/3,4/4,1/4,0/4,0/4,3/4,4/4,4/4,2/4,4/4,4/4,8/10,0/10,4/10,9/10,9/10
S20240030,梁欣,机器学习(2)班,E2026061601,机器学习数学基础测验,2026-06-16,49,8,3/3,0/3,0/3,3/3,0/3,3/3,3/3,0/3,0/3,0/3,0/3,3/3,3/3,3/3,0/3,1/4,0/4,4/4,0/4,0/4,1/4,0/4,0/4,4/4,0/4,10/10,4/10,2/10,1/10,1/10
